idf_rank,term,idf,doc_freq,doc_freq%
177,medium_shrimp,6.875611249074991,1910,1.37
178,eggs sour_cream,6.875611249074991,320,0.23
179,cranberry_juice,6.873063476996193,1229,0.88
180,tequila,6.87052217956752,534,0.38
181,leek,6.87052217956752,998,0.71
182,sweet_red_pepper,6.87052217956752,449,0.32
183,ground_cumin ground_coriander,6.867987323964332,849,0.61
184,romano_cheese,6.867987323964332,1213,0.87
185,caraway_seed,6.862936808178263,785,0.56
186,onion_soup_mix,6.862936808178263,609,0.44
187,unbleached_all,6.860421083581016,899,0.64
188,unbleached_all purpose_flour,6.860421083581016,350,0.25
189,dried_basil dried_oregano,6.85791167197559,403,0.29
190,celery_rib,6.85791167197559,564,0.4
191,butter onions,6.855408541757472,357,0.26
192,granny_smith_apples,6.855408541757472,943,0.68
193,crabmeat,6.852911661558885,4610,3.3
194,soymilk,6.852911661558885,325,0.23
195,low fat_milk,6.850421000246433,511,0.37
196,fresh_gingerroot,6.847936526918771,542,0.39
197,salt vanilla,6.847936526918771,388,0.28
198,parmigiano,6.847936526918771,400,0.29
199,egg_substitute,6.845458210904304,514,0.37
200,corn_syrup,6.845458210904304,318,0.23
201,golden_raisin,6.845458210904304,392,0.28
202,fresh_basil_leaves,6.845458210904304,1542,1.1
203,chili_powder salt,6.842986021758915,5791,4.15
204,pinto_beans,6.8405199292637215,340,0.24
205,goat_cheese,6.8405199292637215,359,0.26
206,nonstick_cooking_spray,6.8405199292637215,472,0.34
207,kalamata_olive,6.835605914461293,945,0.68
208,fat_sour_cream,6.835605914461293,1398,1.0
209,fresh_coriander,6.835605914461293,618,0.44
210,whole_cloves,6.833157932822652,543,0.39
211,chili_powder ground_cumin,6.833157932822652,880,0.63
212,milk flour,6.8307159291671,1781,1.28
213,mango,6.82827987436922,696,0.5
214,sauerkraut,6.82827987436922,1297,0.93
215,fresh_orange_juice,6.82827987436922,595,0.43
216,part,6.825849739515927,2554,1.83
217,yellow_onions,6.82100711504014,486,0.35
218,catsup,6.82100711504014,1810,1.3
219,baking_powder cinnamon,6.82100711504014,967,0.69
220,oil onion,6.813786867066653,358,0.26
221,tomato_juice,6.813786867066653,447,0.32
222,egg flour,6.813786867066653,367,0.26
223,dry_yeast,6.813786867066653,2108,1.51
224,linguine,6.811391656340698,3401,2.44
225,vanilla eggs,6.809002168943317,426,0.31
226,pumpkin_pie_spice,6.809002168943317,500,0.36
227,long_grain_rice,6.809002168943317,345,0.25
