idf_rank,term,idf,doc_freq,doc_freq%
248,party,2.7807141184584943,17359,12.43
249,dinner,2.7807141184584943,17359,12.43
250,dinner party,2.7807141184584943,4582,3.28
251,for,2.7520216515511424,4582,3.28
252,less occasion,2.7301307177654865,5571,3.99
253,protein,2.717725154890842,5571,3.99
254,desserts,2.712353183594879,4243,3.04
255,cook,2.701852119903525,26318,18.85
256,steps,2.6975807024720373,20367,14.58
257,steps or,2.6975807024720373,59836,42.85
258,sodium,2.66882669806896,3873,2.77
259,low sodium,2.66882669806896,7930,5.68
260,low carb,2.6591468856553053,13529,9.69
261,carb,2.6591468856553053,4805,3.44
262,15,2.643540236751739,3968,2.84
263,15 minutes,2.643540236751739,4058,2.91
264,healthy,2.5867605936406353,6660,4.77
265,hours,2.568688961892798,6660,4.77
266,hours or,2.568688961892798,3497,2.5
267,north american,2.504421179680758,4650,3.33
268,north,2.504421179680758,4650,3.33
269,american,2.4834638090918633,5282,3.78
270,and,2.4315803924498347,8150,5.84
271,30 minutes,2.430172764070837,25572,18.31
272,30,2.430172764070837,25572,18.31
273,vegetables,2.4269158701782505,7543,5.4
274,taste mood,2.4220058036248053,14793,10.59
275,mood,2.4220058036248053,14793,10.59
276,taste,2.4220058036248053,6338,4.54
277,meat,2.3971445073423805,7800,5.59
278,cuisine occasion,2.3180622678984815,33686,24.12
279,dietary low,2.2686314768862723,33686,24.12
280,less cuisine,2.218206884938717,7478,5.35
281,60,2.198927561534953,12530,8.97
282,60 minutes,2.198927561534953,12530,8.97
283,main dish,2.158571167243557,3490,2.5
284,main,2.158571167243557,14793,10.59
285,dish,2.158571167243557,12324,8.83
286,equipment,2.0735786302687327,8150,5.84
287,low in,1.9612696114350001,8150,5.84
288,low,1.9612696114350001,6349,4.55
289,in,1.9161618437488692,6349,4.55
290,in something,1.9161618437488692,33521,24.0
291,cuisine,1.893123508602263,5814,4.16
292,something,1.8474936111636702,9749,6.98
293,occasion,1.670483862564526,3456,2.47
294,easy,1.5916696801041827,22593,16.18
295,minutes or,1.3096843717595466,8684,6.22
296,minutes,1.3096843717595466,5755,4.12
297,dietary,1.2923835048175332,5755,4.12
298,or less,1.0430183293803397,13051,9.35
299,less,1.0430183293803397,5201,3.72
300,or,1.0357411279872322,4955,3.55
